,,,,,,,,,,,,,,,,,,,,,GM_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,STID,Earthquake Name,Magnitude,Location,Date,Time,Mag_Type,faultType,Depth,Repi,Rfault,PGA,APKV2,VPK,DPK,SA03,SA1,SA3,Stracc,Event_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36
1,CE01699,Heber Earthquake of 29 Apr 2023,3.7,"3 km (1.875 mi) SSW of Heber, CA",29/04/2023,14:06:47.870 PDT,MW,,11.3,8.4,-9999,0.046,0.045,1.38,0.1,0.041,0.006,0.001,0.138,40214935,GM_Z_1_1_40214935,GM_Y_1_2_40214935,GM_X_1_3_40214935,GM_Y_1_4_40214935,GM_Y_1_5_40214935,GM_Y_1_6_40214935,GM_X_1_7_40214935,GM_Y_1_8_40214935,GM_Y_1_9_40214935,GM_Y_1_10_40214935,GM_Y_1_11_40214935,GM_X_1_12_40214935,,,,,,,,,,,,,,,,,,,,,,,,
2,CE03233,Anza Earthquake of 12 Jun 2005,5.2,"6 mi. ESE of Anza, CA",12/06/2005,08:41:46 AM PDT,ML,SS,13.1,94.7,-9999,0.007,0.007,0.49,0.1,0.014,0.006,0.001,0.032,14151344,GM_Z_2_1_14151344,GM_X_2_2_14151344,GM_Y_2_3_14151344,GM_X_2_4_14151344,GM_Y_2_5_14151344,GM_Y_2_6_14151344,GM_Y_2_7_14151344,GM_X_2_8_14151344,GM_Y_2_9_14151344,GM_Y_2_10_14151344,GM_Y_2_11_14151344,GM_X_2_12_14151344,GM_Y_2_13_14151344,GM_Y_2_14_14151344,GM_X_2_15_14151344,GM_Y_2_16_14151344,,,,,,,,,,,,,,,,,,,,
2,CE03233,San Clemente Is. Earthquake of 15 Jun 2004,5.2,"68 km SE of San Clemente Is., CA",15/06/2004,3:28:49 PM PDT,Ml,SS,7,80.7,-9999,0.031,0.031,1.7,0.2,0.105,0.013,0.001,0.123,14065544,GM_Z_2_1_14065544,GM_X_2_2_14065544,GM_Y_2_3_14065544,GM_X_2_4_14065544,GM_Y_2_5_14065544,GM_Y_2_6_14065544,GM_Y_2_7_14065544,GM_X_2_8_14065544,GM_Y_2_9_14065544,GM_Y_2_10_14065544,GM_Y_2_11_14065544,GM_X_2_12_14065544,GM_Y_2_13_14065544,GM_Y_2_14_14065544,GM_X_2_15_14065544,GM_Y_2_16_14065544,,,,,,,,,,,,,,,,,,,,
2,CE03233,Calexico Earthquake of 04 Apr 2010,7.2,"30.8 mi SSE of Calexico, CA",04/04/2010,3:40:42 PM PDT,ML,SS,10,194.6,143.8,0.039,0.038,3.25,0.7,0.128,0.073,0.007,0.137,14607652,GM_Z_2_1_14607652,GM_X_2_2_14607652,GM_Y_2_3_14607652,GM_X_2_4_14607652,GM_Y_2_5_14607652,GM_Y_2_6_14607652,GM_Y_2_7_14607652,GM_X_2_8_14607652,GM_Y_2_9_14607652,GM_Y_2_10_14607652,GM_Y_2_11_14607652,GM_X_2_12_14607652,GM_Y_2_13_14607652,GM_Y_2_14_14607652,GM_X_2_15_14607652,GM_Y_2_16_14607652,,,,,,,,,,,,,,,,,,,,
2,CE03233,Ocotillo Area Earthquake of 14 Jun 2010,5.7,"5 mi SE of Ocotillo, CA",14/06/2010,9:26:58 PM PDT,ML,SS,6.9,123.6,-9999,0.014,0.014,0.89,0.2,0.033,0.012,0.002,0.055,14745580,GM_Z_2_1_14745580,GM_X_2_2_14745580,GM_Y_2_3_14745580,GM_X_2_4_14745580,GM_Y_2_5_14745580,GM_Y_2_6_14745580,GM_Y_2_7_14745580,GM_X_2_8_14745580,GM_Y_2_9_14745580,GM_Y_2_10_14745580,GM_Y_2_11_14745580,GM_X_2_12_14745580,GM_Y_2_13_14745580,GM_Y_2_14_14745580,GM_X_2_15_14745580,GM_Y_2_16_14745580,,,,,,,,,,,,,,,,,,,,
2,CE03233,Borrego Springs Area Earthquake of 07 Jul 2010,5.4,"15 mi NNW of Borrego Springs, CA",07/07/2010,16:53:33 PDT,ML,SS,14,91.3,-9999,0.02,0.02,1.31,0.2,0.028,0.017,0.003,0.046,10736069,GM_Z_2_1_10736069,GM_X_2_2_10736069,GM_Y_2_3_10736069,GM_X_2_4_10736069,GM_Y_2_5_10736069,GM_Y_2_6_10736069,GM_Y_2_7_10736069,GM_X_2_8_10736069,GM_Y_2_9_10736069,GM_Y_2_10_10736069,GM_Y_2_11_10736069,GM_X_2_12_10736069,GM_Y_2_13_10736069,GM_Y_2_14_10736069,GM_X_2_15_10736069,GM_Y_2_16_10736069,,,,,,,,,,,,,,,,,,,,
3,CE03300,Calexico Earthquake of 04 Apr 2010,7.2,"30.8 mi SSE of Calexico, CA",04/04/2010,3:40:42 PM PDT,ML,SS,10,183.6,-9999,0.034,0.034,7.61,3.7,0.076,0.085,0.029,0.094,14607652,GM_X_3_1_14607652,GM_X_3_2_14607652,GM_X_3_3_14607652,GM_X_3_4_14607652,GM_Y_3_5_14607652,GM_Y_3_6_14607652,GM_Y_3_7_14607652,GM_Y_3_8_14607652,GM_Y_3_9_14607652,GM_Y_3_10_14607652,GM_Y_3_11_14607652,GM_Y_3_12_14607652,GM_X_3_13_14607652,GM_Z_3_14_14607652,GM_Y_3_15_14607652,,,,,,,,,,,,,,,,,,,,,
3,CE03300,Calexico Area Earthquake of 22 May 2010,4.9,"16 mi WSW of Calexico, CA",22/05/2010,10:30:57 AM PDT,Mw,SS,5.4,132.7,-9999,0.004,0.004,0.19,0,0.016,0.003,0.001,0.006,14718756,GM_X_3_1_14718756,GM_X_3_2_14718756,GM_X_3_3_14718756,GM_X_3_4_14718756,GM_Y_3_5_14718756,GM_Y_3_6_14718756,GM_Y_3_7_14718756,GM_Y_3_8_14718756,GM_Y_3_9_14718756,GM_Y_3_10_14718756,GM_Y_3_11_14718756,GM_Y_3_12_14718756,GM_X_3_13_14718756,GM_Z_3_14_14718756,GM_Y_3_15_14718756,,,,,,,,,,,,,,,,,,,,,
3,CE03300,Ocotillo Area Earthquake of 14 Jun 2010,5.7,"5 mi SE of Ocotillo, CA",14/06/2010,9:26:58 PM PDT,ML,SS,6.9,116.2,-9999,0.009,0.009,1.29,0.6,0.02,0.011,0.01,0.015,14745580,GM_X_3_1_14745580,GM_X_3_2_14745580,GM_X_3_3_14745580,GM_X_3_4_14745580,GM_Y_3_5_14745580,GM_Y_3_6_14745580,GM_Y_3_7_14745580,GM_Y_3_8_14745580,GM_Y_3_9_14745580,GM_Y_3_10_14745580,GM_Y_3_11_14745580,GM_Y_3_12_14745580,GM_X_3_13_14745580,GM_Z_3_14_14745580,GM_Y_3_15_14745580,,,,,,,,,,,,,,,,,,,,,
3,CE03300,Borrego Springs Area Earthquake of 07 Jul 2010,5.4,"15 mi NNW of Borrego Springs, CA",07/07/2010,16:53:33 PDT,ML,SS,14,100.1,-9999,0.016,0.016,1.08,0.4,0.038,0.013,0.007,0.019,10736069,GM_X_3_1_10736069,GM_X_3_2_10736069,GM_X_3_3_10736069,GM_X_3_4_10736069,GM_Y_3_5_10736069,GM_Y_3_6_10736069,GM_Y_3_7_10736069,GM_Y_3_8_10736069,GM_Y_3_9_10736069,GM_Y_3_10_10736069,GM_Y_3_11_10736069,GM_Y_3_12_10736069,GM_X_3_13_10736069,GM_Z_3_14_10736069,GM_Y_3_15_10736069,,,,,,,,,,,,,,,,,,,,,
3,CE03300,Borrego Springs Earthquake of 10 Jun 2016,5.2,"20.5km (12.8mi) NNW of Borrego Springs, CA",10/06/2016,01:04:38.700 AM PDT,MW,SS,12.3,103.8,-9999,0.01,0.01,0.73,0.2,0.023,0.014,0.003,0.013,37374687,GM_X_3_1_37374687,GM_X_3_2_37374687,GM_X_3_3_37374687,GM_X_3_4_37374687,GM_Y_3_5_37374687,GM_Y_3_6_37374687,GM_Y_3_7_37374687,GM_Y_3_8_37374687,GM_Y_3_9_37374687,GM_Y_3_10_37374687,GM_Y_3_11_37374687,GM_Y_3_12_37374687,GM_X_3_13_37374687,GM_Z_3_14_37374687,GM_Y_3_15_37374687,,,,,,,,,,,,,,,,,,,,,
3,CE03300,Anza Earthquake of 03 Apr 2020,4.9,"17 km (10.625 mi) ESE of Anza, CA",03/04/2020,18:53:18.920 PDT,MW,,10.4,105.1,-9999,0.004,0.004,0.2,0,0.008,0.002,0.001,0.006,39126079,GM_X_3_1_39126079,GM_X_3_2_39126079,GM_X_3_3_39126079,GM_X_3_4_39126079,GM_Y_3_5_39126079,GM_Y_3_6_39126079,GM_Y_3_7_39126079,GM_Y_3_8_39126079,GM_Y_3_9_39126079,GM_Y_3_10_39126079,GM_Y_3_11_39126079,GM_Y_3_12_39126079,GM_X_3_13_39126079,GM_Z_3_14_39126079,GM_Y_3_15_39126079,,,,,,,,,,,,,,,,,,,,,
3,CE03300,"El Sauzal, B.C. Earthquake of 14 Apr 2022",4.6,"20 km (12.5 mi) W of El Sauzal, B.C., MX",14/04/2022,21:30:55.980 PDT,MW,,14.5,91.1,-9999,0.007,0.007,0.48,0,0.019,0.003,0,0.013,40236864,GM_X_3_1_40236864,GM_X_3_2_40236864,GM_X_3_3_40236864,GM_X_3_4_40236864,GM_Y_3_5_40236864,GM_Y_3_6_40236864,GM_Y_3_7_40236864,GM_Y_3_8_40236864,GM_Y_3_9_40236864,GM_Y_3_10_40236864,GM_Y_3_11_40236864,GM_Y_3_12_40236864,GM_X_3_13_40236864,GM_Z_3_14_40236864,GM_Y_3_15_40236864,,,,,,,,,,,,,,,,,,,,,
4,CE03603,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,167.3,-9999,0.02,-1,-1,-1,-1,-1,-1,0.07,3031425,GM_Z_4_1_3031425,GM_Y_4_2_3031425,GM_X_4_3_3031425,GM_Y_4_4_3031425,GM_Y_4_5_3031425,GM_X_4_6_3031425,GM_Y_4_7_3031425,GM_Y_4_8_3031425,GM_X_4_9_3031425,GM_Y_4_10_3031425,GM_Y_4_11_3031425,GM_Y_4_12_3031425,GM_X_4_13_3031425,GM_Y_4_14_3031425,GM_Y_4_15_3031425,GM_X_4_16_3031425,,,,,,,,,,,,,,,,,,,,
4,CE03603,San Clemente Is. Earthquake of 15 Jun 2004,5.2,"68 km SE of San Clemente Is., CA",15/06/2004,3:28:49 PM PDT,Ml,SS,7,74.9,-9999,0.015,0.015,1.58,0.2,0.044,0.018,0.001,0.033,14065544,GM_Z_4_1_14065544,GM_Y_4_2_14065544,GM_X_4_3_14065544,GM_Y_4_4_14065544,GM_Y_4_5_14065544,GM_X_4_6_14065544,GM_Y_4_7_14065544,GM_Y_4_8_14065544,GM_X_4_9_14065544,GM_Y_4_10_14065544,GM_Y_4_11_14065544,GM_Y_4_12_14065544,GM_X_4_13_14065544,GM_Y_4_14_14065544,GM_Y_4_15_14065544,GM_X_4_16_14065544,,,,,,,,,,,,,,,,,,,,
4,CE03603,Chino Hills Earthquake of 29 Jul 2008,5.4,"3 mi WSW of Chino Hills, CA",29/07/2008,11:42:15 AM PDT,Mw,,13.6,148.2,-9999,0.006,0.006,0.54,0.1,0.01,0.006,0.001,0.019,14383980,GM_Z_4_1_14383980,GM_Y_4_2_14383980,GM_X_4_3_14383980,GM_Y_4_4_14383980,GM_Y_4_5_14383980,GM_X_4_6_14383980,GM_Y_4_7_14383980,GM_Y_4_8_14383980,GM_X_4_9_14383980,GM_Y_4_10_14383980,GM_Y_4_11_14383980,GM_Y_4_12_14383980,GM_X_4_13_14383980,GM_Y_4_14_14383980,GM_Y_4_15_14383980,GM_X_4_16_14383980,,,,,,,,,,,,,,,,,,,,
4,CE03603,Calexico Earthquake of 04 Apr 2010,7.2,"30.8 mi SSE of Calexico, CA",04/04/2010,3:40:42 PM PDT,ML,SS,10,183.3,135,0.034,0.034,7.72,3.4,0.07,0.093,0.028,0.128,14607652,GM_Z_4_1_14607652,GM_Y_4_2_14607652,GM_X_4_3_14607652,GM_Y_4_4_14607652,GM_Y_4_5_14607652,GM_X_4_6_14607652,GM_Y_4_7_14607652,GM_Y_4_8_14607652,GM_X_4_9_14607652,GM_Y_4_10_14607652,GM_Y_4_11_14607652,GM_Y_4_12_14607652,GM_X_4_13_14607652,GM_Y_4_14_14607652,GM_Y_4_15_14607652,GM_X_4_16_14607652,,,,,,,,,,,,,,,,,,,,
4,CE03603,Borrego Springs Area Earthquake of 07 Jul 2010,5.4,"15 mi NNW of Borrego Springs, CA",07/07/2010,16:53:33 PDT,ML,SS,14,99.9,-9999,0.011,0.011,1.1,0.4,0.03,0.011,0.006,0.029,10736069,GM_Z_4_1_10736069,GM_Y_4_2_10736069,GM_X_4_3_10736069,GM_Y_4_4_10736069,GM_Y_4_5_10736069,GM_X_4_6_10736069,GM_Y_4_7_10736069,GM_Y_4_8_10736069,GM_X_4_9_10736069,GM_Y_4_10_10736069,GM_Y_4_11_10736069,GM_Y_4_12_10736069,GM_X_4_13_10736069,GM_Y_4_14_10736069,GM_Y_4_15_10736069,GM_X_4_16_10736069,,,,,,,,,,,,,,,,,,,,
5,CE12299,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,48,-9999,0.08,-1,-1,-1,-1,-1,-1,0.19,3031425,GM_Z_5_1_3031425,GM_Y_5_2_3031425,GM_Y_5_3_3031425,GM_Y_5_4_3031425,GM_Y_5_5_3031425,GM_Y_5_6_3031425,GM_Y_5_7_3031425,GM_Y_5_8_3031425,GM_Y_5_9_3031425,GM_X_5_10_3031425,GM_X_5_11_3031425,GM_X_5_12_3031425,GM_X_5_13_3031425,,,,,,,,,,,,,,,,,,,,,,,
5,CE12299,Desert Hot Springs Earthquake of 22 Apr 1992,6.1,"Desert Hot Springs, CA",22/04/1992,9:50:23 PM PDT,Ml,,12.4,24.6,-9999,-9999,-1,-1,-1,-1,-1,-1,0.21,3019681,GM_Z_5_1_3019681,GM_Y_5_2_3019681,GM_Y_5_3_3019681,GM_Y_5_4_3019681,GM_Y_5_5_3019681,GM_Y_5_6_3019681,GM_Y_5_7_3019681,GM_Y_5_8_3019681,GM_Y_5_9_3019681,GM_X_5_10_3019681,GM_X_5_11_3019681,GM_X_5_12_3019681,GM_X_5_13_3019681,,,,,,,,,,,,,,,,,,,,,,,
