,,,,,,,,,,,,,,,,,,,,,GM_Filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,STID,Earthquake Name,Magnitude,Location,Date,Time,Mag_Type,faultType,Depth,Repi,Rfault,PGA,APKV2,VPK,DPK,SA03,SA1,SA3,Stracc,Event_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36
46,CE24569,Sierra Madre Earthquake of 28 Jun 1991,5.8,"Sierra Madre, CA",28/06/1991,7:43:00 AM PDT,Ml,,12,13.4,-9999,0.032,0.032,1.23,0.1,0.054,0.013,0.001,0.036,2021449,GM_Z_46_1_2021449,GM_X_46_2_2021449,GM_Y_46_3_2021449,GM_Y_46_4_2021449,GM_X_46_5_2021449,GM_Y_46_6_2021449,GM_Y_46_7_2021449,GM_X_46_8_2021449,GM_Y_46_9_2021449,GM_Y_46_10_2021449,GM_X_46_11_2021449,GM_Y_46_12_2021449,GM_Y_46_13_2021449,,,,,,,,,,,,,,,,,,,,,,,
47,CE24588,Pacoima Earthquake of 30 Jul 2020,4.2,"2 km (1.25 mi) N of Pacoima, CA",30/07/2020,04:29:29.050 PDT,MW,,8.8,161.7,-9999,0.006,0.006,0.39,0.1,0.02,0.005,0,0.012,39322287,GM_Z_47_1_39322287,GM_X_47_2_39322287,GM_Y_47_3_39322287,GM_Z_47_4_39322287,GM_Y_47_5_39322287,GM_Z_47_6_39322287,GM_X_47_7_39322287,GM_Y_47_8_39322287,GM_Y_47_9_39322287,GM_X_47_10_39322287,GM_Y_47_11_39322287,GM_Y_47_12_39322287,GM_X_47_13_39322287,GM_Y_47_14_39322287,GM_Y_47_15_39322287,GM_X_47_16_39322287,GM_Y_47_17_39322287,GM_Y_47_18_39322287,,,,,,,,,,,,,,,,,,
47,CE24588,Pacoima Earthquake of 30 Jul 2020,3.8,"1 km (0.625 mi) NNE of Pacoima, CA",30/07/2020,06:48:19.180 PDT,MW,,7.2,122.4,-9999,0.06,-1,-1,-1,-1,-1,-1,0.16,39322767,GM_Z_47_1_39322767,GM_X_47_2_39322767,GM_Y_47_3_39322767,GM_Z_47_4_39322767,GM_Y_47_5_39322767,GM_Z_47_6_39322767,GM_X_47_7_39322767,GM_Y_47_8_39322767,GM_Y_47_9_39322767,GM_X_47_10_39322767,GM_Y_47_11_39322767,GM_Y_47_12_39322767,GM_X_47_13_39322767,GM_Y_47_14_39322767,GM_Y_47_15_39322767,GM_X_47_16_39322767,GM_Y_47_17_39322767,GM_Y_47_18_39322767,,,,,,,,,,,,,,,,,,
47,CE24588,South El Monte Earthquake of 18 Sep 2020,4.5,"3 km (1.875 mi) WSW of South El Monte, CA",18/09/2020,23:38:46.930 PDT,MW,,16.9,158.7,144.4,0.05,-1,-1,-1,-1,-1,-1,0.21,38695658,GM_Z_47_1_38695658,GM_X_47_2_38695658,GM_Y_47_3_38695658,GM_Z_47_4_38695658,GM_Y_47_5_38695658,GM_Z_47_6_38695658,GM_X_47_7_38695658,GM_Y_47_8_38695658,GM_Y_47_9_38695658,GM_X_47_10_38695658,GM_Y_47_11_38695658,GM_Y_47_12_38695658,GM_X_47_13_38695658,GM_Y_47_14_38695658,GM_Y_47_15_38695658,GM_X_47_16_38695658,GM_Y_47_17_38695658,GM_Y_47_18_38695658,,,,,,,,,,,,,,,,,,
48,CE24602,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,36.5,31.1,0.23,-1,-1,-1,-1,-1,-1,0.31,3031425,GM_Z_48_1_3031425,GM_X_48_2_3031425,GM_Y_48_3_3031425,GM_Y_48_4_3031425,GM_X_48_5_3031425,GM_Y_48_6_3031425,GM_Y_48_7_3031425,GM_X_48_8_3031425,GM_Y_48_9_3031425,GM_X_48_10_3031425,GM_Y_48_11_3031425,GM_Y_48_12_3031425,GM_X_48_13_3031425,GM_Y_48_14_3031425,GM_Y_48_15_3031425,GM_X_48_16_3031425,GM_Y_48_17_3031425,GM_Y_48_18_3031425,GM_X_48_19_3031425,GM_Y_48_20_3031425,,,,,,,,,,,,,,,,
48,CE24602,Landers Earthquake of 28 Jun 1992,7.3,"Landers, CA",28/06/1992,4:57:31 AM PDT,Ml,,1.1,18.7,-9999,0.23,-1,-1,-1,-1,-1,-1,0.33,3031111,GM_Z_48_1_3031111,GM_X_48_2_3031111,GM_Y_48_3_3031111,GM_Y_48_4_3031111,GM_X_48_5_3031111,GM_Y_48_6_3031111,GM_Y_48_7_3031111,GM_X_48_8_3031111,GM_Y_48_9_3031111,GM_X_48_10_3031111,GM_Y_48_11_3031111,GM_Y_48_12_3031111,GM_X_48_13_3031111,GM_Y_48_14_3031111,GM_Y_48_15_3031111,GM_X_48_16_3031111,GM_Y_48_17_3031111,GM_Y_48_18_3031111,GM_X_48_19_3031111,GM_Y_48_20_3031111,,,,,,,,,,,,,,,,
48,CE24602,Northridge Earthquake of 17 Jan 1994,6.4,"Northridge, CA",17/01/1994,4:30:55 AM PST,Ml,,19,41.7,-9999,0.089,0.089,5.29,0.6,0.309,0.041,0.003,0.127,3144585,GM_Z_48_1_3144585,GM_X_48_2_3144585,GM_Y_48_3_3144585,GM_Y_48_4_3144585,GM_X_48_5_3144585,GM_Y_48_6_3144585,GM_Y_48_7_3144585,GM_X_48_8_3144585,GM_Y_48_9_3144585,GM_X_48_10_3144585,GM_Y_48_11_3144585,GM_Y_48_12_3144585,GM_X_48_13_3144585,GM_Y_48_14_3144585,GM_Y_48_15_3144585,GM_X_48_16_3144585,GM_Y_48_17_3144585,GM_Y_48_18_3144585,GM_X_48_19_3144585,GM_Y_48_20_3144585,,,,,,,,,,,,,,,,
48,CE24602,Sierra Madre Earthquake of 28 Jun 1991,5.8,"Sierra Madre, CA",28/06/1991,7:43:00 AM PDT,Ml,,12,18.2,-9999,0.107,0.107,2.62,0.2,0.095,0.006,0.001,0.064,2021449,GM_Z_48_1_2021449,GM_X_48_2_2021449,GM_Y_48_3_2021449,GM_Y_48_4_2021449,GM_X_48_5_2021449,GM_Y_48_6_2021449,GM_Y_48_7_2021449,GM_X_48_8_2021449,GM_Y_48_9_2021449,GM_X_48_10_2021449,GM_Y_48_11_2021449,GM_Y_48_12_2021449,GM_X_48_13_2021449,GM_Y_48_14_2021449,GM_Y_48_15_2021449,GM_X_48_16_2021449,GM_Y_48_17_2021449,GM_Y_48_18_2021449,GM_X_48_19_2021449,GM_Y_48_20_2021449,,,,,,,,,,,,,,,,
48,CE24602,Chino Hills Earthquake of 29 Jul 2008,5.4,"3 mi WSW of Chino Hills, CA",29/07/2008,11:42:15 AM PDT,Mw,,13.6,30.9,-9999,0.019,0.019,0.64,0.1,0.031,0.005,0,0.013,14383980,GM_Z_48_1_14383980,GM_X_48_2_14383980,GM_Y_48_3_14383980,GM_Y_48_4_14383980,GM_X_48_5_14383980,GM_Y_48_6_14383980,GM_Y_48_7_14383980,GM_X_48_8_14383980,GM_Y_48_9_14383980,GM_X_48_10_14383980,GM_Y_48_11_14383980,GM_Y_48_12_14383980,GM_X_48_13_14383980,GM_Y_48_14_14383980,GM_Y_48_15_14383980,GM_X_48_16_14383980,GM_Y_48_17_14383980,GM_Y_48_18_14383980,GM_X_48_19_14383980,GM_Y_48_20_14383980,,,,,,,,,,,,,,,,
48,CE24602,Encino Earthquake of 17 Mar 2014,4.4,"3.1 km (1.9 mi) SSE of Encino, CA",17/03/2014,6:25:36 AM PDT,Mw,ALL,9.9,182.5,169.6,0.012,0.012,1.69,0.4,0.021,0.028,0.002,0.047,15476961,GM_Z_48_1_15476961,GM_X_48_2_15476961,GM_Y_48_3_15476961,GM_Y_48_4_15476961,GM_X_48_5_15476961,GM_Y_48_6_15476961,GM_Y_48_7_15476961,GM_X_48_8_15476961,GM_Y_48_9_15476961,GM_X_48_10_15476961,GM_Y_48_11_15476961,GM_Y_48_12_15476961,GM_X_48_13_15476961,GM_Y_48_14_15476961,GM_Y_48_15_15476961,GM_X_48_16_15476961,GM_Y_48_17_15476961,GM_Y_48_18_15476961,GM_X_48_19_15476961,GM_Y_48_20_15476961,,,,,,,,,,,,,,,,
48,CE24602,La Habra Earthquake of 28 Mar 2014,5.1,"2km (1mi) E of La Habra, CA",28/03/2014,9:09:42 PM PDT,Mw,ALL,4.8,186.8,171.1,0.02,0.02,2.34,1.6,0.052,0.027,0.005,0.037,15481673,GM_Z_48_1_15481673,GM_X_48_2_15481673,GM_Y_48_3_15481673,GM_Y_48_4_15481673,GM_X_48_5_15481673,GM_Y_48_6_15481673,GM_Y_48_7_15481673,GM_X_48_8_15481673,GM_Y_48_9_15481673,GM_X_48_10_15481673,GM_Y_48_11_15481673,GM_Y_48_12_15481673,GM_X_48_13_15481673,GM_Y_48_14_15481673,GM_Y_48_15_15481673,GM_X_48_16_15481673,GM_Y_48_17_15481673,GM_Y_48_18_15481673,GM_X_48_19_15481673,GM_Y_48_20_15481673,,,,,,,,,,,,,,,,
48,CE24602,Ridgecrest Earthquake of 04 Jul 2019,6.4,"12 km (7.5 mi) SW of Searles Valley, CA",04/07/2019,10:33:49.040 PDT,MW,SS,10.7,32.3,29.1,0.18,-1,-1,-1,-1,-1,-1,0.37,38443183,GM_Z_48_1_38443183,GM_X_48_2_38443183,GM_Y_48_3_38443183,GM_Y_48_4_38443183,GM_X_48_5_38443183,GM_Y_48_6_38443183,GM_Y_48_7_38443183,GM_X_48_8_38443183,GM_Y_48_9_38443183,GM_X_48_10_38443183,GM_Y_48_11_38443183,GM_Y_48_12_38443183,GM_X_48_13_38443183,GM_Y_48_14_38443183,GM_Y_48_15_38443183,GM_X_48_16_38443183,GM_Y_48_17_38443183,GM_Y_48_18_38443183,GM_X_48_19_38443183,GM_Y_48_20_38443183,,,,,,,,,,,,,,,,
48,CE24602,Ridgecrest Earthquake of 05 Jul 2019,7.1,"18 km (11.3 mi) W of Searles Valley, CA",05/07/2019,20:19:53.040 PDT,MW,SS,8,32.6,-9999,0.16,0.16,7.95,0.8,0.409,0.061,0.008,0.185,38457511,GM_Z_48_1_38457511,GM_X_48_2_38457511,GM_Y_48_3_38457511,GM_Y_48_4_38457511,GM_X_48_5_38457511,GM_Y_48_6_38457511,GM_Y_48_7_38457511,GM_X_48_8_38457511,GM_Y_48_9_38457511,GM_X_48_10_38457511,GM_Y_48_11_38457511,GM_Y_48_12_38457511,GM_X_48_13_38457511,GM_Y_48_14_38457511,GM_Y_48_15_38457511,GM_X_48_16_38457511,GM_Y_48_17_38457511,GM_Y_48_18_38457511,GM_X_48_19_38457511,GM_Y_48_20_38457511,,,,,,,,,,,,,,,,
48,CE24602,South El Monte Earthquake of 18 Sep 2020,4.5,"3 km (1.875 mi) WSW of South El Monte, CA",18/09/2020,23:38:46.930 PDT,MW,,16.9,45.8,-9999,0.112,0.112,8.73,1.1,0.259,0.069,0.006,0.327,38695658,GM_Z_48_1_38695658,GM_X_48_2_38695658,GM_Y_48_3_38695658,GM_Y_48_4_38695658,GM_X_48_5_38695658,GM_Y_48_6_38695658,GM_Y_48_7_38695658,GM_X_48_8_38695658,GM_Y_48_9_38695658,GM_X_48_10_38695658,GM_Y_48_11_38695658,GM_Y_48_12_38695658,GM_X_48_13_38695658,GM_Y_48_14_38695658,GM_Y_48_15_38695658,GM_X_48_16_38695658,GM_Y_48_17_38695658,GM_Y_48_18_38695658,GM_X_48_19_38695658,GM_Y_48_20_38695658,,,,,,,,,,,,,,,,
48,CE24602,Lennox Earthquake of 05 Apr 2021,4,"2 km (1.25 mi) E of Lennox, CA",05/04/2021,04:44:01.950 PDT,MW,,19.3,17.2,-9999,0.035,0.035,1.41,0.1,0.07,0.004,0,0.093,39838928,GM_Z_48_1_39838928,GM_X_48_2_39838928,GM_Y_48_3_39838928,GM_Y_48_4_39838928,GM_X_48_5_39838928,GM_Y_48_6_39838928,GM_Y_48_7_39838928,GM_X_48_8_39838928,GM_Y_48_9_39838928,GM_X_48_10_39838928,GM_Y_48_11_39838928,GM_Y_48_12_39838928,GM_X_48_13_39838928,GM_Y_48_14_39838928,GM_Y_48_15_39838928,GM_X_48_16_39838928,GM_Y_48_17_39838928,GM_Y_48_18_39838928,GM_X_48_19_39838928,GM_Y_48_20_39838928,,,,,,,,,,,,,,,,
49,CE24609,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,177.3,-9999,0.008,0.008,0.5,0.1,0.02,0.009,0.001,0.04,3031425,GM_Z_49_1_3031425,GM_X_49_2_3031425,GM_Y_49_3_3031425,GM_Y_49_4_3031425,GM_X_49_5_3031425,GM_Y_49_6_3031425,GM_Y_49_7_3031425,GM_Y_49_8_3031425,GM_X_49_9_3031425,GM_X_49_10_3031425,GM_Y_49_11_3031425,GM_Y_49_12_3031425,,,,,,,,,,,,,,,,,,,,,,,,
49,CE24609,Big Bear City Earthquake of 22 Feb 2003,5.4,"3 mi. N of Big Bear City, CA",22/02/2003,4:19:10 AM PST,Ml,SS,12.7,14.5,-9999,0.01,0.01,0.28,0,0.012,0.002,0,0.022,13935988,GM_Z_49_1_13935988,GM_X_49_2_13935988,GM_Y_49_3_13935988,GM_Y_49_4_13935988,GM_X_49_5_13935988,GM_Y_49_6_13935988,GM_Y_49_7_13935988,GM_Y_49_8_13935988,GM_X_49_9_13935988,GM_X_49_10_13935988,GM_Y_49_11_13935988,GM_Y_49_12_13935988,,,,,,,,,,,,,,,,,,,,,,,,
49,CE24609,Landers Earthquake of 28 Jun 1992,7.3,"Landers, CA",28/06/1992,4:57:31 AM PDT,Ml,,1.1,132.2,-9999,0.03,-1,-1,-1,-1,-1,-1,0.06,3031111,GM_Z_49_1_3031111,GM_X_49_2_3031111,GM_Y_49_3_3031111,GM_Y_49_4_3031111,GM_X_49_5_3031111,GM_Y_49_6_3031111,GM_Y_49_7_3031111,GM_Y_49_8_3031111,GM_X_49_9_3031111,GM_X_49_10_3031111,GM_Y_49_11_3031111,GM_Y_49_12_3031111,,,,,,,,,,,,,,,,,,,,,,,,
49,CE24609,Northridge Earthquake of 17 Jan 1994,6.4,"Northridge, CA",17/01/1994,4:30:55 AM PST,Ml,,19,168.5,156.9,0.03,-1,-1,-1,-1,-1,-1,0.08,3144585,GM_Z_49_1_3144585,GM_X_49_2_3144585,GM_Y_49_3_3144585,GM_Y_49_4_3144585,GM_X_49_5_3144585,GM_Y_49_6_3144585,GM_Y_49_7_3144585,GM_Y_49_8_3144585,GM_X_49_9_3144585,GM_X_49_10_3144585,GM_Y_49_11_3144585,GM_Y_49_12_3144585,,,,,,,,,,,,,,,,,,,,,,,,
49,CE24609,Sierra Madre Earthquake of 28 Jun 1991,5.8,"Sierra Madre, CA",28/06/1991,7:43:00 AM PDT,Ml,,12,31.7,28.5,0.21,-1,-1,-1,-1,-1,-1,0.52,2021449,GM_Z_49_1_2021449,GM_X_49_2_2021449,GM_Y_49_3_2021449,GM_Y_49_4_2021449,GM_X_49_5_2021449,GM_Y_49_6_2021449,GM_Y_49_7_2021449,GM_Y_49_8_2021449,GM_X_49_9_2021449,GM_X_49_10_2021449,GM_Y_49_11_2021449,GM_Y_49_12_2021449,,,,,,,,,,,,,,,,,,,,,,,,
49,CE24609,Ridgecrest Earthquake of 04 Jul 2019,6.4,"12 km (7.5 mi) SW of Searles Valley, CA",04/07/2019,10:33:49.040 PDT,MW,SS,10.7,32.1,-9999,0.06,-1,-1,-1,-1,-1,-1,0.06,38443183,GM_Z_49_1_38443183,GM_X_49_2_38443183,GM_Y_49_3_38443183,GM_Y_49_4_38443183,GM_X_49_5_38443183,GM_Y_49_6_38443183,GM_Y_49_7_38443183,GM_Y_49_8_38443183,GM_X_49_9_38443183,GM_X_49_10_38443183,GM_Y_49_11_38443183,GM_Y_49_12_38443183,,,,,,,,,,,,,,,,,,,,,,,,
49,CE24609,Ridgecrest Earthquake of 05 Jul 2019,7.1,"18 km (11.3 mi) W of Searles Valley, CA",05/07/2019,20:19:53.040 PDT,MW,SS,8,14.5,-9999,0.024,0.024,0.75,0.1,0.047,0.004,0,0.153,38457511,GM_Z_49_1_38457511,GM_X_49_2_38457511,GM_Y_49_3_38457511,GM_Y_49_4_38457511,GM_X_49_5_38457511,GM_Y_49_6_38457511,GM_Y_49_7_38457511,GM_Y_49_8_38457511,GM_X_49_9_38457511,GM_X_49_10_38457511,GM_Y_49_11_38457511,GM_Y_49_12_38457511,,,,,,,,,,,,,,,,,,,,,,,,
49,CE24609,Searles Valley Earthquake of 03 Jun 2020,5.5,"17 km (10.625 mi) S of Searles Valley, CA",03/06/2020,18:32:11.140 PDT,MW,,8.4,13.6,-9999,0.011,0.011,0.65,0,0.036,0.002,0,0.15,39462536,GM_Z_49_1_39462536,GM_X_49_2_39462536,GM_Y_49_3_39462536,GM_Y_49_4_39462536,GM_X_49_5_39462536,GM_Y_49_6_39462536,GM_Y_49_7_39462536,GM_Y_49_8_39462536,GM_X_49_9_39462536,GM_X_49_10_39462536,GM_Y_49_11_39462536,GM_Y_49_12_39462536,,,,,,,,,,,,,,,,,,,,,,,,
50,CE24629,Big Bear Earthquake of 28 Jun 1992,6.5,"Big Bear, CA",28/06/1992,8:05:31 AM PDT,Ml,,1,30.2,-9999,0.102,0.075,1.72,0.1,0.052,0.009,0.001,0.29,3031425,GM_Z_50_1_3031425,GM_Z_50_2_3031425,GM_X_50_3_3031425,GM_Y_50_4_3031425,GM_Y_50_5_3031425,GM_X_50_6_3031425,GM_Y_50_7_3031425,GM_X_50_8_3031425,GM_Y_50_9_3031425,GM_Y_50_10_3031425,GM_X_50_11_3031425,GM_Y_50_12_3031425,GM_Y_50_13_3031425,GM_Y_50_14_3031425,GM_X_50_15_3031425,GM_Y_50_16_3031425,GM_Y_50_17_3031425,GM_X_50_18_3031425,GM_Y_50_19_3031425,GM_Y_50_20_3031425,,,,,,,,,,,,,,,,
50,CE24629,Landers Earthquake of 28 Jun 1992,7.3,"Landers, CA",28/06/1992,4:57:31 AM PDT,Ml,,1.1,133.2,-9999,0.03,-1,-1,-1,-1,-1,-1,0.1,3031111,GM_Z_50_1_3031111,GM_Z_50_2_3031111,GM_X_50_3_3031111,GM_Y_50_4_3031111,GM_Y_50_5_3031111,GM_X_50_6_3031111,GM_Y_50_7_3031111,GM_X_50_8_3031111,GM_Y_50_9_3031111,GM_Y_50_10_3031111,GM_X_50_11_3031111,GM_Y_50_12_3031111,GM_Y_50_13_3031111,GM_Y_50_14_3031111,GM_X_50_15_3031111,GM_Y_50_16_3031111,GM_Y_50_17_3031111,GM_X_50_18_3031111,GM_Y_50_19_3031111,GM_Y_50_20_3031111,,,,,,,,,,,,,,,,
50,CE24629,Northridge Earthquake of 17 Jan 1994,6.4,"Northridge, CA",17/01/1994,4:30:55 AM PST,Ml,,19,169.5,158.1,0.05,-1,-1,-1,-1,-1,-1,0.17,3144585,GM_Z_50_1_3144585,GM_Z_50_2_3144585,GM_X_50_3_3144585,GM_Y_50_4_3144585,GM_Y_50_5_3144585,GM_X_50_6_3144585,GM_Y_50_7_3144585,GM_X_50_8_3144585,GM_Y_50_9_3144585,GM_Y_50_10_3144585,GM_X_50_11_3144585,GM_Y_50_12_3144585,GM_Y_50_13_3144585,GM_Y_50_14_3144585,GM_X_50_15_3144585,GM_Y_50_16_3144585,GM_Y_50_17_3144585,GM_X_50_18_3144585,GM_Y_50_19_3144585,GM_Y_50_20_3144585,,,,,,,,,,,,,,,,
50,CE24629,Chino Hills Earthquake of 29 Jul 2008,5.4,"3 mi WSW of Chino Hills, CA",29/07/2008,11:42:15 AM PDT,Mw,,13.6,31.4,28.1,0.15,-1,-1,-1,-1,-1,-1,0.41,14383980,GM_Z_50_1_14383980,GM_Z_50_2_14383980,GM_X_50_3_14383980,GM_Y_50_4_14383980,GM_Y_50_5_14383980,GM_X_50_6_14383980,GM_Y_50_7_14383980,GM_X_50_8_14383980,GM_Y_50_9_14383980,GM_Y_50_10_14383980,GM_X_50_11_14383980,GM_Y_50_12_14383980,GM_Y_50_13_14383980,GM_Y_50_14_14383980,GM_X_50_15_14383980,GM_Y_50_16_14383980,GM_Y_50_17_14383980,GM_X_50_18_14383980,GM_Y_50_19_14383980,GM_Y_50_20_14383980,,,,,,,,,,,,,,,,
50,CE24629,Hector Mine Earthquake of 16 Oct 1999,7.1,"Hector Mine, CA",16/10/1999,2:46:45 AM PDT,Ml,,6,33.3,-9999,0.09,-1,-1,-1,-1,-1,-1,0.23,9108652,GM_Z_50_1_9108652,GM_Z_50_2_9108652,GM_X_50_3_9108652,GM_Y_50_4_9108652,GM_Y_50_5_9108652,GM_X_50_6_9108652,GM_Y_50_7_9108652,GM_X_50_8_9108652,GM_Y_50_9_9108652,GM_Y_50_10_9108652,GM_X_50_11_9108652,GM_Y_50_12_9108652,GM_Y_50_13_9108652,GM_Y_50_14_9108652,GM_X_50_15_9108652,GM_Y_50_16_9108652,GM_Y_50_17_9108652,GM_X_50_18_9108652,GM_Y_50_19_9108652,GM_Y_50_20_9108652,,,,,,,,,,,,,,,,
50,CE24629,Whittier Narrows Area Earthquake of 16 Mar 2010,4.4,"3 mi. SSW of Whittier Narrows Rec. Area, CA",16/03/2010,4:04:00 AM PDT,ML,,18,46.9,-9999,0.063,0.063,5.67,0.9,0.115,0.051,0.004,0.263,14601172,GM_Z_50_1_14601172,GM_Z_50_2_14601172,GM_X_50_3_14601172,GM_Y_50_4_14601172,GM_Y_50_5_14601172,GM_X_50_6_14601172,GM_Y_50_7_14601172,GM_X_50_8_14601172,GM_Y_50_9_14601172,GM_Y_50_10_14601172,GM_X_50_11_14601172,GM_Y_50_12_14601172,GM_Y_50_13_14601172,GM_Y_50_14_14601172,GM_X_50_15_14601172,GM_Y_50_16_14601172,GM_Y_50_17_14601172,GM_X_50_18_14601172,GM_Y_50_19_14601172,GM_Y_50_20_14601172,,,,,,,,,,,,,,,,
50,CE24629,La Habra Earthquake of 28 Mar 2014,5.1,"2km (1mi) E of La Habra, CA",28/03/2014,9:09:42 PM PDT,Mw,ALL,4.8,22.9,-9999,0.014,0.013,0.29,0.1,0.009,0.003,0,0.019,15481673,GM_Z_50_1_15481673,GM_Z_50_2_15481673,GM_X_50_3_15481673,GM_Y_50_4_15481673,GM_Y_50_5_15481673,GM_X_50_6_15481673,GM_Y_50_7_15481673,GM_X_50_8_15481673,GM_Y_50_9_15481673,GM_Y_50_10_15481673,GM_X_50_11_15481673,GM_Y_50_12_15481673,GM_Y_50_13_15481673,GM_Y_50_14_15481673,GM_X_50_15_15481673,GM_Y_50_16_15481673,GM_Y_50_17_15481673,GM_X_50_18_15481673,GM_Y_50_19_15481673,GM_Y_50_20_15481673,,,,,,,,,,,,,,,,
50,CE24629,Ridgecrest Earthquake of 04 Jul 2019,6.4,"12 km (7.5 mi) SW of Searles Valley, CA",04/07/2019,10:33:49.040 PDT,MW,SS,10.7,34.3,-9999,0.016,0.015,1.57,0.5,0.037,0.03,0.003,0.048,38443183,GM_Z_50_1_38443183,GM_Z_50_2_38443183,GM_X_50_3_38443183,GM_Y_50_4_38443183,GM_Y_50_5_38443183,GM_X_50_6_38443183,GM_Y_50_7_38443183,GM_X_50_8_38443183,GM_Y_50_9_38443183,GM_Y_50_10_38443183,GM_X_50_11_38443183,GM_Y_50_12_38443183,GM_Y_50_13_38443183,GM_Y_50_14_38443183,GM_X_50_15_38443183,GM_Y_50_16_38443183,GM_Y_50_17_38443183,GM_X_50_18_38443183,GM_Y_50_19_38443183,GM_Y_50_20_38443183,,,,,,,,,,,,,,,,
50,CE24629,Ridgecrest Earthquake of 05 Jul 2019,7.1,"18 km (11.3 mi) W of Searles Valley, CA",05/07/2019,20:19:53.040 PDT,MW,SS,8,196,183,0.012,0.012,2.17,0.9,0.018,0.017,0.006,0.053,38457511,GM_Z_50_1_38457511,GM_Z_50_2_38457511,GM_X_50_3_38457511,GM_Y_50_4_38457511,GM_Y_50_5_38457511,GM_X_50_6_38457511,GM_Y_50_7_38457511,GM_X_50_8_38457511,GM_Y_50_9_38457511,GM_Y_50_10_38457511,GM_X_50_11_38457511,GM_Y_50_12_38457511,GM_Y_50_13_38457511,GM_Y_50_14_38457511,GM_X_50_15_38457511,GM_Y_50_16_38457511,GM_Y_50_17_38457511,GM_X_50_18_38457511,GM_Y_50_19_38457511,GM_Y_50_20_38457511,,,,,,,,,,,,,,,,
50,CE24629,South El Monte Earthquake of 18 Sep 2020,4.5,"3 km (1.875 mi) WSW of South El Monte, CA",18/09/2020,23:38:46.930 PDT,MW,,16.9,200,185.1,0.015,0.015,3.53,3.6,0.033,0.027,0.009,0.073,38695658,GM_Z_50_1_38695658,GM_Z_50_2_38695658,GM_X_50_3_38695658,GM_Y_50_4_38695658,GM_Y_50_5_38695658,GM_X_50_6_38695658,GM_Y_50_7_38695658,GM_X_50_8_38695658,GM_Y_50_9_38695658,GM_Y_50_10_38695658,GM_X_50_11_38695658,GM_Y_50_12_38695658,GM_Y_50_13_38695658,GM_Y_50_14_38695658,GM_X_50_15_38695658,GM_Y_50_16_38695658,GM_Y_50_17_38695658,GM_X_50_18_38695658,GM_Y_50_19_38695658,GM_Y_50_20_38695658,,,,,,,,,,,,,,,,
50,CE24629,Carson Earthquake of 17 Sep 2021,4.3,"2 km (1.25 mi) E of Carson, CA",17/09/2021,19:58:34.700 PDT,MW,,11.9,16.5,-9999,0.091,0.091,3.16,0.2,0.101,0.01,0.001,0.147,39812319,GM_Z_50_1_39812319,GM_Z_50_2_39812319,GM_X_50_3_39812319,GM_Y_50_4_39812319,GM_Y_50_5_39812319,GM_X_50_6_39812319,GM_Y_50_7_39812319,GM_X_50_8_39812319,GM_Y_50_9_39812319,GM_Y_50_10_39812319,GM_X_50_11_39812319,GM_Y_50_12_39812319,GM_Y_50_13_39812319,GM_Y_50_14_39812319,GM_X_50_15_39812319,GM_Y_50_16_39812319,GM_Y_50_17_39812319,GM_X_50_18_39812319,GM_Y_50_19_39812319,GM_Y_50_20_39812319,,,,,,,,,,,,,,,,
51,CE24643,Northridge Earthquake of 17 Jan 1994,6.4,"Northridge, CA",17/01/1994,4:30:55 AM PST,Ml,,19,14,-9999,0.02,0.02,0.46,0,0.008,0.001,0,0.016,3144585,GM_Z_51_1_3144585,GM_Y_51_2_3144585,GM_Y_51_3_3144585,GM_X_51_4_3144585,GM_Y_51_5_3144585,GM_Y_51_6_3144585,GM_X_51_7_3144585,GM_Y_51_8_3144585,GM_X_51_9_3144585,GM_Y_51_10_3144585,GM_Y_51_11_3144585,GM_X_51_12_3144585,GM_Y_51_13_3144585,GM_Y_51_14_3144585,GM_X_51_15_3144585,,,,,,,,,,,,,,,,,,,,,
51,CE24643,Ridgecrest Earthquake of 05 Jul 2019,7.1,"18 km (11.3 mi) W of Searles Valley, CA",05/07/2019,20:19:53.040 PDT,MW,SS,8,133.9,-9999,0.03,-1,-1,-1,-1,-1,-1,0.15,38457511,GM_Z_51_1_38457511,GM_Y_51_2_38457511,GM_Y_51_3_38457511,GM_X_51_4_38457511,GM_Y_51_5_38457511,GM_Y_51_6_38457511,GM_X_51_7_38457511,GM_Y_51_8_38457511,GM_X_51_9_38457511,GM_Y_51_10_38457511,GM_Y_51_11_38457511,GM_X_51_12_38457511,GM_Y_51_13_38457511,GM_Y_51_14_38457511,GM_X_51_15_38457511,,,,,,,,,,,,,,,,,,,,,
