Station,Event,Sensor File,Peak Acceleration (cm/s²),Peak Velocity (cm/s),Arias Intensity (m/s)
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_X_48_10_38457511.V2,31.748,12.878,0.18772864730162425
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_6_38457511.V2,23.498,3.638,0.01427365051281571
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_15_38457511.V2,27.15,10.438,0.06010041213442421
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_X_48_19_38457511.V2,71.836,29.517,1.075389652778197
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_X_48_5_38457511.V2,19.246,2.99,0.015073362385593961
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_3_38457511.V2,13.225,3.527,0.009091434057118283
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Z_48_1_38457511.V2,8.93,1.775,0.004609224797754819
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_X_48_2_38457511.V2,14.701,2.826,0.010098237388105419
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_4_38457511.V2,12.455,3.499,0.008582139662046523
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_17_38457511.V2,24.487,13.292,0.09668478432863664
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_20_38457511.V2,60.2,15.111,0.17068399539700171
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_12_38457511.V2,35.22,7.977,0.06332202017222609
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_18_38457511.V2,28.478,14.301,0.11229880146496253
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_11_38457511.V2,36.755,7.537,0.052832659747609596
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_14_38457511.V2,26.04,10.052,0.05316652104213956
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_Y_48_7_38457511.V2,22.967,3.646,0.014747805190769604
24602,Ridgecrest Earthquake of 05 Jul 2019,GM_X_48_8_38457511.V2,32.103,8.04,0.09576804909191283
